Motions with difficulty > 2.0 (Rank 0):
Total high difficulty motions: 841
Motion: ACCAD_Male2MartialArtsKicks_c3d_G19-__reverse_spin_cresent_left_t2_stageii.pkl, Difficulty: 10.00
Motion: ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_stageii.pkl, Difficulty: 10.00
Motion: ACCAD_Male2MartialArtsKicks_c3d_G6_-__axe_kick_stageii.pkl, Difficulty: 10.00
Motion: ACCAD_Male2MartialArtsKicks_c3d_G7_-__capoera_stageii.pkl, Difficulty: 10.00
Motion: ACCAD_Male2MartialArtsPunches_c3d_E12_-_backfist_right_stageii.pkl, Difficulty: 10.00
Motion: BMLmovi_Subject_20_F_MoSh_Subject_20_F_16_stageii.pkl, Difficulty: 10.00
Motion: BMLmovi_Subject_26_F_MoSh_Subject_26_F_1_stageii.pkl, Difficulty: 10.00
Motion: BMLmovi_Subject_49_F_MoSh_Subject_49_F_2_stageii.pkl, Difficulty: 10.00
Motion: BMLmovi_Subject_66_F_MoSh_Subject_66_F_4_stageii.pkl, Difficulty: 10.00
Motion: BMLmovi_Subject_78_F_MoSh_Subject_78_F_1_stageii.pkl, Difficulty: 10.00
Motion: BMLmovi_Subject_82_F_MoSh_Subject_82_F_7_stageii.pkl, Difficulty: 10.00
Motion: BMLmovi_Subject_89_F_MoSh_Subject_89_F_8_stageii.pkl, Difficulty: 10.00
Motion: CMU_05_05_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_05_05_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_05_05_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_05_05_12_stageii.pkl, Difficulty: 10.00
Motion: CMU_05_05_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_05_05_15_stageii.pkl, Difficulty: 10.00
Motion: CMU_05_05_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_05_05_17_stageii.pkl, Difficulty: 10.00
Motion: CMU_05_05_18_stageii.pkl, Difficulty: 10.00
Motion: CMU_05_05_19_stageii.pkl, Difficulty: 10.00
Motion: CMU_05_05_20_stageii.pkl, Difficulty: 10.00
Motion: CMU_102_102_27_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_01_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_09_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_11_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_18_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_19_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_20_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_22_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_23_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_24_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_27_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_28_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_29_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_36_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_37_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_39_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_44_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_50_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_58_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_62_stageii.pkl, Difficulty: 10.00
Motion: CMU_106_106_20_stageii.pkl, Difficulty: 10.00
Motion: CMU_106_106_21_stageii.pkl, Difficulty: 10.00
Motion: CMU_106_106_29_stageii.pkl, Difficulty: 10.00
Motion: CMU_106_106_32_stageii.pkl, Difficulty: 10.00
Motion: CMU_107_107_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_05_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_09_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_10_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_11_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_12_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_13_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_15_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_17_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_21_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_23_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_24_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_25_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_26_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_27_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_28_stageii.pkl, Difficulty: 10.00
Motion: CMU_111_111_19_stageii.pkl, Difficulty: 10.00
Motion: CMU_111_111_21_stageii.pkl, Difficulty: 10.00
Motion: CMU_111_111_39_stageii.pkl, Difficulty: 10.00
Motion: CMU_114_114_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_114_114_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_114_114_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_30_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_31_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_32_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_34_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_35_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_48_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_65_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_01_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_05_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_11_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_12_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_15_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_18_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_24_stageii.pkl, Difficulty: 10.00
Motion: CMU_128_128_09_stageii.pkl, Difficulty: 10.00
Motion: CMU_131_131_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_137_137_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_137_137_20_stageii.pkl, Difficulty: 10.00
Motion: CMU_139_139_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_139_139_15_stageii.pkl, Difficulty: 10.00
Motion: CMU_139_139_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_139_139_17_stageii.pkl, Difficulty: 10.00
Motion: CMU_13_13_10_stageii.pkl, Difficulty: 10.00
Motion: CMU_13_13_12_stageii.pkl, Difficulty: 10.00
Motion: CMU_140_140_01_stageii.pkl, Difficulty: 10.00
Motion: CMU_140_140_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_141_141_20_stageii.pkl, Difficulty: 10.00
Motion: CMU_141_141_21_stageii.pkl, Difficulty: 10.00
Motion: CMU_141_141_29_stageii.pkl, Difficulty: 10.00
Motion: CMU_142_142_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_30_30_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_36_36_22_stageii.pkl, Difficulty: 10.00
Motion: CMU_36_36_26_stageii.pkl, Difficulty: 10.00
Motion: CMU_40_40_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_40_40_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_40_40_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_40_40_09_stageii.pkl, Difficulty: 10.00
Motion: CMU_41_41_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_41_41_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_41_41_09_stageii.pkl, Difficulty: 10.00
Motion: CMU_49_49_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_49_49_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_49_49_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_49_49_10_stageii.pkl, Difficulty: 10.00
Motion: CMU_54_54_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_55_55_20_stageii.pkl, Difficulty: 10.00
Motion: CMU_55_55_26_stageii.pkl, Difficulty: 10.00
Motion: CMU_74_74_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_74_74_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_74_74_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_74_74_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_74_74_17_stageii.pkl, Difficulty: 10.00
Motion: CMU_77_77_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_77_77_15_stageii.pkl, Difficulty: 10.00
Motion: CMU_77_77_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_77_77_17_stageii.pkl, Difficulty: 10.00
Motion: CMU_78_78_29_stageii.pkl, Difficulty: 10.00
Motion: CMU_78_78_31_stageii.pkl, Difficulty: 10.00
Motion: CMU_83_83_30_stageii.pkl, Difficulty: 10.00
Motion: CMU_83_83_31_stageii.pkl, Difficulty: 10.00
Motion: CMU_83_83_32_stageii.pkl, Difficulty: 10.00
Motion: CMU_83_83_34_stageii.pkl, Difficulty: 10.00
Motion: CMU_83_83_35_stageii.pkl, Difficulty: 10.00
Motion: CMU_83_83_65_stageii.pkl, Difficulty: 10.00
Motion: CMU_84_84_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_84_84_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_84_84_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_84_84_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_84_84_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_85_85_01_stageii.pkl, Difficulty: 10.00
Motion: CMU_85_85_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_85_85_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_85_85_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_86_86_05_stageii.pkl, Difficulty: 10.00
Motion: CMU_86_86_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_86_86_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_86_86_11_stageii.pkl, Difficulty: 10.00
Motion: CMU_88_88_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_88_88_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_88_88_10_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_19_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_33_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_34_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_35_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_36_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_01_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_11_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_18_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_19_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_20_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_22_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_23_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_26_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_27_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_28_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_29_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_36_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_37_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_39_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_44_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_47_stageii.pkl, Difficulty: 10.00
