Motions with difficulty > 2.0 (Rank 0):
Total high difficulty motions: 1541
Motion: CMU_105_105_36_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_37_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_39_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_50_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_58_stageii.pkl, Difficulty: 10.00
Motion: CMU_105_105_62_stageii.pkl, Difficulty: 10.00
Motion: CMU_106_106_20_stageii.pkl, Difficulty: 10.00
Motion: CMU_106_106_21_stageii.pkl, Difficulty: 10.00
Motion: CMU_106_106_29_stageii.pkl, Difficulty: 10.00
Motion: CMU_106_106_32_stageii.pkl, Difficulty: 10.00
Motion: CMU_107_107_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_05_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_09_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_10_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_11_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_12_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_15_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_17_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_21_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_23_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_24_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_25_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_26_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_27_stageii.pkl, Difficulty: 10.00
Motion: CMU_108_108_28_stageii.pkl, Difficulty: 10.00
Motion: CMU_111_111_19_stageii.pkl, Difficulty: 10.00
Motion: CMU_111_111_21_stageii.pkl, Difficulty: 10.00
Motion: CMU_111_111_39_stageii.pkl, Difficulty: 10.00
Motion: CMU_114_114_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_114_114_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_114_114_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_30_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_31_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_32_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_34_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_35_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_48_stageii.pkl, Difficulty: 10.00
Motion: CMU_122_122_65_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_01_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_05_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_11_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_12_stageii.pkl, Difficulty: 10.00
Motion: CMU_126_126_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_15_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_18_stageii.pkl, Difficulty: 10.00
Motion: CMU_127_127_24_stageii.pkl, Difficulty: 10.00
Motion: CMU_128_128_09_stageii.pkl, Difficulty: 10.00
Motion: CMU_128_128_11_stageii.pkl, Difficulty: 10.00
Motion: CMU_131_131_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_137_137_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_137_137_20_stageii.pkl, Difficulty: 10.00
